model,variable,beta,se,t,p,df,fmi,m_used,n_obs,n_ctry,r2_avg
M5_observed_only,log_HCI,0.03997523997769518,0.5203952880737894,0.07681706751354538,0.9387814750749972,,,1,1365,73,0.20436936692262153
M5_observed_only,log_GFCF,0.007914648427861087,0.07547045560521926,0.104870818181648,0.9164952888590947,,,1,1365,73,0.20436936692262153
M5_observed_only,Domestic credit to private sector (% of GDP),4.9103062042923615e-05,0.0013128631668435685,0.037401507851712305,0.9701708954252257,,,1,1365,73,0.20436936692262153
M5_observed_only,Agriculture,0.008775809516978638,0.005638357652933275,1.5564478270393414,0.1198570199134803,,,1,1365,73,0.20436936692262153
M5_observed_only,Industry,-0.014994974329470117,0.004916523093136415,-3.0499143491064777,0.002337662881296332,,,1,1365,73,0.20436936692262153
M5_observed_only,Manufacturing,0.01666656435025397,0.003910348034587207,4.262169045526752,2.1780194157328125e-05,,,1,1365,73,0.20436936692262153
M5_observed_only,Services,0.0014913352005263708,0.004107097079356907,0.3631117482034015,0.7165833470933687,,,1,1365,73,0.20436936692262153
M5_observed_only,Urban population (% of total population),-1.8645363184801357e-10,4.522775208083419e-10,-0.4122549171021603,0.6802239050120882,,,1,1365,73,0.20436936692262153
M5_observed_only,Political stability — estimate,0.009959374456530813,0.026968365639936435,0.36929840649232193,0.7119684156699537,,,1,1365,73,0.20436936692262153
M5_observed_only,Rule of law index,-0.5043026858657533,0.21364999962368908,-2.3604151029908884,0.01840874309489071,,,1,1365,73,0.20436936692262153
M5_observed_only,Political corruption index,-0.741906450042345,0.26801848089146496,-2.7681167640927815,0.005722121310727912,,,1,1365,73,0.20436936692262153
M5_observed_only,"Inflation, consumer prices (annual %)",0.0001303931315782968,0.00031700184640604716,0.4113324040746326,0.6808999493787993,,,1,1365,73,0.20436936692262153
M5_observed_only,Real interest rate (%),0.0016734415954707245,0.0015306723409835112,1.0932722508041655,0.27448679484138916,,,1,1365,73,0.20436936692262153
M5_observed_only,Government revenue,-0.00473224729698939,0.004393973301600785,-1.0769859014084968,0.2816962128165539,,,1,1365,73,0.20436936692262153
M5_observed_only,"Primary net lending, General government, Percent of GDP",0.0074823214631360765,0.0038889167572007913,1.924011731359811,0.054581962465985345,,,1,1365,73,0.20436936692262153
M5_observed_only,wide_resource_share_net,-0.08985420861662628,0.055892736447402155,-1.6076187055393782,0.10817349260980302,,,1,1365,73,0.20436936692262153
M5_observed_only,post2019_x_coal_share,-0.5044982180024902,0.30241702307292084,-1.6682203034610328,0.09552467366640038,,,1,1365,73,0.20436936692262153
M5_observed_only,post2019_x_crude_oil_share,0.15438619922774408,0.11862598984818863,1.3014534118983496,0.19334524139436482,,,1,1365,73,0.20436936692262153
M5_observed_only,post2019_x_refined_oil_share,0.0010912550665768078,0.15637474057781858,0.006978461243449698,0.9944331621098914,,,1,1365,73,0.20436936692262153
M5_observed_only,post2019_x_gas_share,-0.17574595901821569,0.2793891292115518,-0.629036496567273,0.529441117764879,,,1,1365,73,0.20436936692262153
M5_observed_only,post2019_x_ores_share,-0.4655242862227197,0.20587666663613427,-2.261180413638063,0.02392090392604329,,,1,1365,73,0.20436936692262153
M5_observed_only,post2019_x_base_metals_share,0.15308283022015964,0.10279286477184763,1.4892359558217623,0.1366797343762851,,,1,1365,73,0.20436936692262153
