Country Code,Country Name,Cluster_aggregate,Cluster_1995,Cluster_2010,Cluster_2023,Stability_aggregate,Stability_1995,Stability_2010,Stability_2023,Resource_Rich,RR_k3_aggregate,RR_stability_k3_aggregate,RR_k3_1995,RR_stability_k3_1995,RR_k3_2010,RR_stability_k3_2010,RR_k3_2023,RR_stability_k3_2023,RR_k4_aggregate,RR_stability_k4_aggregate,RR_k4_1995,RR_stability_k4_1995,RR_k4_2010,RR_stability_k4_2010,RR_k4_2023,RR_stability_k4_2023,RR_k5_aggregate,RR_stability_k5_aggregate,RR_k5_1995,RR_stability_k5_1995,RR_k5_2010,RR_stability_k5_2010,RR_k5_2023,RR_stability_k5_2023
QAT,Qatar,Petrostates,,Petrostates,Petrostates,1.0,,1.0,1.0,True,2.0,1.0,,,0.0,1.0,2.0,1.0,3.0,1.0,,,3.0,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0
ROU,Romania,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
RUS,Russian Federation,Unlabeled_4,,Petrostates,,1.0,,1.0,,True,2.0,1.0,,,1.0,1.0,,,3.0,1.0,,,3.0,1.0,,,2.0,1.0,,,1.0,1.0,,
RWA,Rwanda,Mining Specialists,,Mining Specialists,,1.0,,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,Petrostates,Petrostates,Petrostates,Petrostates,1.0,1.0,1.0,1.0,True,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0
SEN,Senegal,Mining Specialists,,Mining Specialists,Unlabeled_0,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
SRB,Serbia,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,Mining Specialists,,,,1.0,,,,False,,,,,,,,,,,,,,,,,,,,,,,,
SVK,Slovak Republic,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,Mining Specialists,,Mining Specialists,,1.0,,1.0,,True,0.0,1.0,,,0.0,1.0,,,0.0,1.0,,,0.0,1.0,,,0.0,1.0,,,0.0,1.0,,
ZAF,South Africa,Diverse Resource Exporters,,Unlabeled_0,Unlabeled_0,1.0,,1.0,1.0,True,0.0,1.0,,,2.0,1.0,0.0,1.0,0.0,1.0,,,2.0,1.0,0.0,1.0,0.0,1.0,,,0.0,1.0,2.0,1.0
LKA,Sri Lanka,Mining Specialists,,Mining Specialists,Mining Specialists,1.0,,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,Mining Specialists,Unlabeled_0,Mining Specialists,,1.0,1.0,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
LCA,St. Lucia,Mining Specialists,Unlabeled_0,Unlabeled_0,,1.0,1.0,1.0,,False,,,,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,Mining Specialists,Unlabeled_0,Mining Specialists,Mining Specialists,1.0,1.0,1.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,
