Country Code,Year,Bucket,prod_usd,Country Name,Population,"GDP per capita (constant prices, PPP)",prod_pc,prod_pct_gdp
UKR,2013,Natural Gas,7578534088.101734,Ukraine,46126770.0,11061.77120415041,164.2979573055242,1.4852771249135863
USA,2013,Natural Gas,246505260435.2481,United States,316726282.0,45399.24975866182,778.2911442607978,1.714326004059805
UZB,2013,Natural Gas,21016150295.991344,Uzbekistan,29724065.0,9069.938968963952,707.0415939405107,7.795439377926433
VEN,2013,Natural Gas,11500381658.402563,"Venezuela, RB",29912198.0,5802.613273800793,384.4713002502378,6.62583015804539
VNM,2013,Natural Gas,3537547577.590143,Viet Nam,90573104.0,16050.646717558622,39.05737378273072,0.24333831820000043
ARE,2014,Natural Gas,16982016412.536793,United Arab Emirates,8059440.0,47568.90167014842,2107.0963258659153,4.429566905868274
ARG,2014,Natural Gas,11073106767.420712,Argentina,43024071.0,23550.112,257.3700375173868,1.0928612038761716
AUS,2014,Natural Gas,20959032347.678032,Australia,23475686.0,48325.632,892.7974393454587,1.847461486578093
AZE,2014,Natural Gas,5902962477.233291,Azerbaijan,9535079.0,14962.347,619.0785076068369,4.137576194475619
BGD,2014,Natural Gas,7392245016.2329,Bangladesh,157964929.0,4423.114000000001,46.79674825943738,1.0580045700707095
BHR,2014,Natural Gas,4718922359.91166,Bahrain,1314562.0,48989.608,3589.729780650635,7.327533179384973
BOL,2014,Natural Gas,6558613369.514789,Bolivia,10848888.0,7757.096,604.5424535228669,7.793412038768979
BRA,2014,Natural Gas,7496729484.024272,Brazil,200085127.0,16384.507,37.46769985569328,0.22867761511343174
BRN,2014,Natural Gas,4074050069.844511,Brunei Darussalam,416750.0,64533.663,9775.765014623901,15.14831881559846
CAN,2014,Natural Gas,51050777445.60663,Canada,35434066.0,41954.21589215686,1440.725923059652,3.434043259831222
CHN,2014,Natural Gas,42120995096.60193,China,1371860000.0,15967.118354747834,30.703566760895374,0.1922924730608366
COL,2014,Natural Gas,3959962498.064415,Colombia,46565429.0,20182.00199363528,85.0408249876623,0.4213696193989145
